Stride_Length_m,Gait_Speed_ms,Stride_Time_s,MTC_m
0.06956598486003043,0.0688772127327034,1.01,0.0010465788109161878
0.07438923523828675,0.07590738289621098,0.98,0.0002541965808786628
0.06770748762744537,0.0670371164628172,1.01,0.00030524558443456584
0.06536802820359454,0.06472082000355894,1.01,0.00026265424583282737
0.08126557302980149,0.08292405411204233,0.98,0.0001666536411581987
0.06493304141473401,0.06558893072195354,0.99,8.189862491292388e-06
0.06559934749120687,0.06368868688466686,1.03,0.0003034279575580001
0.07045555844476456,0.07116723075228744,0.99,0.00023648257308739318
0.06604051241311688,0.07025586426927329,0.94,0.0007810864270316742
0.06909872934835248,0.07273550457721314,0.95,0.00032454006054205564
0.060447702879979956,0.0616813294693673,0.98,0.0009289047372327275
0.06882424359075094,0.06747474861838328,1.02,0.00011571392237907929
0.06706467240578773,0.06774209333917952,0.99,0.00024803188087041406
0.07065001632796622,0.07136365285653154,0.99,0.0001281872136260631
0.07157048645594383,0.06881777543840753,1.04,0.0002893635844518627
0.06275680355418584,0.062135449063550334,1.01,0.00041768330932789866
0.07128402203608945,0.06920778838455287,1.03,0.0001761835339486595
0.06683925777363939,0.06751440179155493,0.99,0.00026972627129850935
0.06922737636092284,0.06786997682443416,1.02,0.0001482392364202667
0.06156922841849733,0.06095963209752211,1.01,0.00026480788755733897
0.08159973927329385,0.07351327862458905,1.11,0.00042486088693927115
0.07247729683217558,0.06529486201096898,1.11,0.0006638455703011914
0.05262917265272518,0.05210809173537147,1.01,0.00034365333887009797
0.08754670807506028,0.08106176673616691,1.08,0.0002710252504449784
0.06810215632274562,0.06676681992426041,1.02,0.00033830607470797247
0.060809599097156344,0.05736754631807202,1.06,0.000810804027551626
0.08363148189368574,0.0796490303749388,1.05,0.00013760804208828858
0.07068660716065939,0.06668547845345225,1.06,0.00035158868452711545
0.06924152649221936,0.06924152649221936,1.0,0.00023698018390483355
0.0642783371776598,0.05897095153913742,1.09,0.00043773540989988646
0.08187515655488009,0.07724071373101896,1.06,0.00030905171212758376
0.07166336784463175,0.06697511013516985,1.07,0.0004531540292980196
0.06841001497323998,0.06641749026528153,1.03,0.0002049563764465745
0.07473114048291037,0.07399122820090136,1.01,0.00038473798009164284
0.08133755306776246,0.07673354062996458,1.06,0.0018159806931823397
0.07562533008948961,0.07342265057232002,1.03,0.00014878266813589391
0.058007229557150014,0.05686983289916668,1.02,0.0003946184329759461
0.09965319824936054,0.09401245117864201,1.06,0.00039018934687007345
0.06758675780644018,0.06896607939432671,0.98,0.00035823527050027337
0.0601724250915046,0.06140043376684143,0.98,0.0003372173270861367
